match_url,game_links
https://gol.gg/game/stats/66217/page-summary/,"['https://gol.gg/game/stats/66217/page-game/', 'https://gol.gg/game/stats/66218/page-game/']"
https://gol.gg/game/stats/66214/page-summary/,"['https://gol.gg/game/stats/66214/page-game/', 'https://gol.gg/game/stats/66215/page-game/']"
https://gol.gg/game/stats/66211/page-summary/,"['https://gol.gg/game/stats/66211/page-game/', 'https://gol.gg/game/stats/66212/page-game/']"
https://gol.gg/game/stats/66208/page-summary/,"['https://gol.gg/game/stats/66208/page-game/', 'https://gol.gg/game/stats/66209/page-game/', 'https://gol.gg/game/stats/66210/page-game/']"
https://gol.gg/game/stats/66205/page-summary/,"['https://gol.gg/game/stats/66205/page-game/', 'https://gol.gg/game/stats/66206/page-game/', 'https://gol.gg/game/stats/66207/page-game/']"
https://gol.gg/game/stats/66202/page-summary/,"['https://gol.gg/game/stats/66202/page-game/', 'https://gol.gg/game/stats/66203/page-game/']"
https://gol.gg/game/stats/66199/page-summary/,"['https://gol.gg/game/stats/66199/page-game/', 'https://gol.gg/game/stats/66200/page-game/', 'https://gol.gg/game/stats/66201/page-game/']"
https://gol.gg/game/stats/66196/page-summary/,"['https://gol.gg/game/stats/66196/page-game/', 'https://gol.gg/game/stats/66197/page-game/', 'https://gol.gg/game/stats/66198/page-game/']"
https://gol.gg/game/stats/65665/page-summary/,"['https://gol.gg/game/stats/65665/page-game/', 'https://gol.gg/game/stats/65666/page-game/', 'https://gol.gg/game/stats/65667/page-game/']"
https://gol.gg/game/stats/65662/page-summary/,"['https://gol.gg/game/stats/65662/page-game/', 'https://gol.gg/game/stats/65663/page-game/', 'https://gol.gg/game/stats/65664/page-game/']"
https://gol.gg/game/stats/65659/page-summary/,"['https://gol.gg/game/stats/65659/page-game/', 'https://gol.gg/game/stats/65660/page-game/', 'https://gol.gg/game/stats/65661/page-game/']"
https://gol.gg/game/stats/65656/page-summary/,"['https://gol.gg/game/stats/65656/page-game/', 'https://gol.gg/game/stats/65657/page-game/']"
https://gol.gg/game/stats/65653/page-summary/,"['https://gol.gg/game/stats/65653/page-game/', 'https://gol.gg/game/stats/65654/page-game/']"
https://gol.gg/game/stats/65650/page-summary/,"['https://gol.gg/game/stats/65650/page-game/', 'https://gol.gg/game/stats/65651/page-game/', 'https://gol.gg/game/stats/65652/page-game/']"
https://gol.gg/game/stats/65647/page-summary/,"['https://gol.gg/game/stats/65647/page-game/', 'https://gol.gg/game/stats/65648/page-game/']"
https://gol.gg/game/stats/65644/page-summary/,"['https://gol.gg/game/stats/65644/page-game/', 'https://gol.gg/game/stats/65645/page-game/']"
https://gol.gg/game/stats/65641/page-summary/,"['https://gol.gg/game/stats/65641/page-game/', 'https://gol.gg/game/stats/65642/page-game/']"
https://gol.gg/game/stats/65638/page-summary/,"['https://gol.gg/game/stats/65638/page-game/', 'https://gol.gg/game/stats/65639/page-game/', 'https://gol.gg/game/stats/65640/page-game/']"
https://gol.gg/game/stats/65483/page-summary/,"['https://gol.gg/game/stats/65483/page-game/', 'https://gol.gg/game/stats/65484/page-game/', 'https://gol.gg/game/stats/65485/page-game/']"
https://gol.gg/game/stats/65480/page-summary/,"['https://gol.gg/game/stats/65480/page-game/', 'https://gol.gg/game/stats/65481/page-game/']"
https://gol.gg/game/stats/65477/page-summary/,"['https://gol.gg/game/stats/65477/page-game/', 'https://gol.gg/game/stats/65478/page-game/']"
https://gol.gg/game/stats/65474/page-summary/,"['https://gol.gg/game/stats/65474/page-game/', 'https://gol.gg/game/stats/65475/page-game/', 'https://gol.gg/game/stats/65476/page-game/']"
https://gol.gg/game/stats/65471/page-summary/,"['https://gol.gg/game/stats/65471/page-game/', 'https://gol.gg/game/stats/65472/page-game/']"
https://gol.gg/game/stats/65468/page-summary/,"['https://gol.gg/game/stats/65468/page-game/', 'https://gol.gg/game/stats/65469/page-game/', 'https://gol.gg/game/stats/65470/page-game/']"
https://gol.gg/game/stats/65465/page-summary/,"['https://gol.gg/game/stats/65465/page-game/', 'https://gol.gg/game/stats/65466/page-game/', 'https://gol.gg/game/stats/65467/page-game/']"
https://gol.gg/game/stats/65462/page-summary/,"['https://gol.gg/game/stats/65462/page-game/', 'https://gol.gg/game/stats/65463/page-game/']"
https://gol.gg/game/stats/65431/page-summary/,"['https://gol.gg/game/stats/65431/page-game/', 'https://gol.gg/game/stats/65432/page-game/']"
https://gol.gg/game/stats/65428/page-summary/,"['https://gol.gg/game/stats/65428/page-game/', 'https://gol.gg/game/stats/65429/page-game/']"
